,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-02-28 11:45:37,2022-02-24,CLAY,Chavant Capital Partners LLC,10%,A - Grant,$0.00,18782,1580814,+1%,+$0,,,,,CLAY
1,,2022-02-28 11:44:32,2022-02-24,CLAY,Ma Jiong,"CEO, Pres",A - Grant,$0.00,18782,1580814,+1%,+$0,,,,,CLAY
2,,2022-02-28 11:43:47,2022-02-24,CLAY,Ennis Patrick J.,Dir,D - Sale to issuer,$0.00,-3652,24348,-13%,-$0,,,,,CLAY
3,,2022-02-28 11:43:01,2022-02-24,CLAY,Lee Michael,CFO,D - Sale to issuer,$0.00,-3652,24348,-13%,-$0,,,,,CLAY
4,,2022-02-28 11:41:42,2022-02-24,CLAY,Kerr Karen E,Dir,D - Sale to issuer,$0.00,-3652,24348,-13%,-$0,,,,,CLAY
5,,2022-02-28 11:40:52,2022-02-24,CLAY,Stapp Bernhard,Dir,D - Sale to issuer,$0.00,-3652,24348,-13%,-$0,,,,,CLAY
6,,2022-02-28 11:38:57,2022-02-24,CLAY,Auberton-Herve Andre-Jacques,Dir,D - Sale to issuer,$0.00,-4174,27826,-13%,-$0,,,,,CLAY
7,,2021-09-21 19:49:07,2021-09-20,CLAY,Chavant Capital Partners LLC,10%,D - Sale to issuer,$0.00,-255903,1562032,-14%,-$0,,,,,CLAY
8,,2021-09-21 19:45:02,2021-09-20,CLAY,Ma Jiong,"CEO, Pres",D - Sale to issuer,$0.00,-255903,1562032,-14%,-$0,,,,,CLAY
